mse,psnr,ssim,sigma,snr_db,noise_std_empirical,noise_mean,signal_std,snr_empirical_db
0.0,inf,1.0,0.0,inf,0.0,0.0,0.32029059529304504,inf
0.005512933246791363,22.586172103881836,0.7388085487465359,0.1,20.0,0.06844951212406158,0.028769606724381447,0.32029059529304504,13.403476476669312
0.021538224071264267,16.66790199279785,0.6507599080951896,0.2,13.979400086720375,0.1350173056125641,0.05752316117286682,0.32029059529304504,7.503095269203186
0.04631642997264862,13.34264850616455,0.564145330319064,0.3,10.45757490560675,0.19785216450691223,0.08468606323003769,0.32029059529304504,4.18406754732132
0.11618290096521378,9.348577499389648,0.39934909639797994,0.5,6.020599913279624,0.3108888864517212,0.13976025581359863,0.32029059529304504,0.25877971202135086
0.17956243455410004,7.457845211029053,0.2908456153048762,0.7,3.098039199714864,0.3837869167327881,0.1796468198299408,0.32029059529304504,-1.5709196031093597
0.25379499793052673,5.955169200897217,0.19764042100811297,1.0,0.0,0.4506472647190094,0.22520236670970917,0.32029059529304504,-2.965850830078125
0.0,inf,1.0,0.0,inf,0.0,0.0,0.30488377809524536,inf
0.005422766320407391,22.657791137695312,0.6744453910200006,0.1,20.0,0.06720469146966934,0.030106237158179283,0.30488377809524536,13.134695291519165
0.021026767790317535,16.772274017333984,0.59041714519724,0.2,13.979400086720375,0.13228116929531097,0.05940376967191696,0.30488377809524536,7.252725958824158
0.04622546583414078,13.351186752319336,0.5102791154021671,0.3,10.45757490560675,0.19569778442382812,0.08904270082712173,0.30488377809524536,3.8509681820869446
0.1145661473274231,9.40943717956543,0.36290496251016113,0.5,6.020599913279624,0.3057946264743805,0.14511260390281677,0.30488377809524536,-0.025910597760230303
0.18208706378936768,7.3972086906433105,0.25839393941392463,0.7,3.098039199714864,0.3815765082836151,0.1910218596458435,0.30488377809524536,-1.9489462673664093
0.2530558407306671,5.967836380004883,0.1797316709717523,1.0,0.0,0.44403085112571716,0.23642414808273315,0.30488377809524536,-3.265576660633087
