Metric,Value
psnr,19.07421126692058
psnr_std,0.23586600197222565
ssim,0.8637481066045369
ssim_std,0.006850138998542619
lpips,0.0
lpips_std,0.0
iwae_bound,-256.40453338623047
fid_proxy,0.0
