timesteps,betas,alpha_bars,snr_linear,snr_db,mse_to_x0,kl_to_unit
454,0.002733767,0.5638051,1.2925532,1.1144843,0.45371696,638.62604
455,0.00274235,0.5622589,1.2844553,1.08719,0.45429647,634.9345
456,0.0027509332,0.56071216,1.2764118,1.059908,0.45695972,631.2606
457,0.002759695,0.5591648,1.2684215,1.032636,0.4568997,627.6046
458,0.0027682781,0.5576169,1.2604841,1.0053737,0.46092802,623.966
459,0.00277704,0.55606836,1.2525991,0.9781211,0.462388,620.34485
460,0.002785623,0.55451936,1.2447665,0.95087886,0.46425214,616.74133
461,0.0027945042,0.55296975,1.2369851,0.9236446,0.4636255,613.1549
462,0.0028032064,0.5514197,1.2292552,0.89642054,0.4680397,609.58594
463,0.0028119087,0.5498691,1.2215761,0.8692053,0.47032455,606.03406
464,0.0028208494,0.548318,1.2139472,0.8419979,0.4668684,602.4994
465,0.0028296113,0.54676646,1.2063681,0.8147984,0.4720602,598.9816
466,0.0028384924,0.5452145,1.1988387,0.78760755,0.47263363,595.48096
467,0.0028473139,0.5436621,1.1913584,0.7604245,0.47333276,591.9973
468,0.0028563142,0.54210925,1.183927,0.7332495,0.47790468,588.5304
469,0.0028651953,0.54055595,1.1765436,0.70608026,0.4786435,585.0801
470,0.0028741956,0.5390023,1.1692082,0.6789184,0.48112488,581.6466
471,0.0028831363,0.5374483,1.1619204,0.6517639,0.4836932,578.22974
472,0.0028921366,0.5358939,1.1546798,0.6246156,0.48570412,574.8296
473,0.0029013157,0.53433913,1.1474856,0.5974725,0.48716,571.44556
474,0.0029101968,0.5327841,1.1403382,0.5703367,0.48723567,568.0781
475,0.002919495,0.53122866,1.1332362,0.5432043,0.48802137,564.7271
476,0.0029284358,0.529673,1.1261802,0.5160788,0.48835433,561.3922
477,0.002937615,0.528117,1.1191694,0.4889581,0.49067393,558.0735
478,0.0029467344,0.5265608,1.1122036,0.46184298,0.4946867,554.7712
479,0.0029560328,0.52500427,1.1052821,0.43473125,0.4946995,551.4846
480,0.0029652119,0.5234475,1.0984048,0.4076241,0.5009111,548.2142
